2,logny les aubenton,2500
2,cuirieux,2350
2,iron,2510
2,joncourt,2420
2,effry,2500
2,jumigny,2160
2,chaourse,2340
2,saint remy blanzy,2210
2,beaumont en beine,2300
2,le plessier huleu,2210
2,estrees,2420
2,baulne en brie,2330
2,guivry,2300
2,variscourt,2190
2,chatillon sur oise,2240
2,soissons,2200
2,bray saint christophe,2480
2,le herie la vieville,2120
2,aubenton,2500
2,braye,2880
2,brissay choigny,2240
2,remaucourt,2100
2,seraucourt le grand,2790
2,berry au bac,2190
2,vivaise,2870
2,proviseux et plesnoy,2190
2,caumont,2300
2,villers le sec,2240
2,vichel nanteuil,2210
2,romery,2120
2,fontaine les clercs,2680
2,chery les pouilly,2000
2,pithon,2480
2,beaurieux,2160
2,sinceny,2300
2,bouffignereux,2160
2,saint gengoulph,2810
2,pargny les bois,2270
2,montigny l allier,2810
2,beuvardes,2130
2,cuissy et geny,2160
2,reuilly sauvigny,2850
2,vailly sur aisne,2370
2,bievres,2860
2,berny riviere,2290
2,perles,2160
2,fontenelle en brie,2540
2,neuflieux,2300
2,sainte croix,2820
2,pargny la dhuys,2330
2,brenelle,2220
2,urvillers,2690
2,laversine,2600
2,origny sainte benoite,2390
2,cuiry housse,2220
2,la neuville les dorengt,2450
2,blanzy les fismes,2160
2,hargicourt,2420
2,villers sur fere,2130
2,la herie,2500
2,bonnesvalyn,2400
2,haution,2140
2,berzy le sec,2200
2,la vallee au ble,2140
2,le catelet,2420
2,gizy,2350
2,saint algis,2260
2,saint aubin,2300
2,bancigny,2140
2,villeneuve sur fere,2130
2,fleury,2600
2,quincy sous le mont,2220
2,besny et loizy,2870
2,chery les rozoy,2360
2,chauny,2300
2,sommette eaucourt,2480
2,lierval,2860
2,chezy sur marne,2570
2,oulches la vallee foulon,2160
2,anizy le chateau,2320
2,maizy,2160
2,fourdrain,2870
2,nampteuil sous muret,2200
2,urcel,2000
2,louatre,2600
2,barzy en thierache,2170
2,conde en brie,2330
2,dampleux,2600
2,sommelans,2470
2,pontruet,2490
2,oigny en valois,2600
2,loupeigne,2130
2,lhuys,2220
